listing_id,name,host_id,host_name,host_is_superhost,host_listings_count,host_tenure_years,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price_clean,availability_365,calendar_days,available_days,unavailable_days,availability_rate,occupancy_proxy,number_of_reviews,total_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_communication,estimated_revenue_proxy,superhost_status,price_status,review_status,availability_rate_pct,occupancy_proxy_pct,host_portfolio_segment
1179483266601973751,Cosy romantic apartment in de Pijp,5889171,Anna,False,1.0,13.19,De Pijp - Rivierenbuurt,52.351744,4.887916,Entire rental unit,Entire home/apt,2,1.0,1.0,270.0,180,365,180,185,0.4932,0.5068,0,,,,,,49950.0,Non-Superhost,Available Price,No Reviews,49.32,50.68,Single-listing host
1179502261436954969,Well-connected Sunny Apartment,277329,Sarah,False,1.0,15.63,De Baarsjes - Oud-West,52.37123927285487,4.8623547703027725,Entire rental unit,Entire home/apt,4,2.0,2.0,162.0,51,365,51,314,0.1397,0.8603,6,6.0,4.83,4.83,4.83,5.0,50868.0,Non-Superhost,Available Price,Has Reviews,13.969999999999999,86.03,Single-listing host
1179504622937734554,Renovated Stylish Apartment @ Amsterdam West,143945194,Nicolas,False,1.0,8.88,Osdorp,52.35664443804658,4.79778418063306,Entire condo,Entire home/apt,2,1.0,1.0,154.0,38,365,38,327,0.1041,0.8959,2,2.0,5.0,5.0,4.5,4.5,50358.0,Non-Superhost,Available Price,Has Reviews,10.41,89.59,Single-listing host
1179524760701776264,Private room 3 persons shared ap,139075883,Woen Yi Jira,False,4.0,8.96,De Baarsjes - Oud-West,52.3704,4.85229,Private room in rental unit,Private room,3,1.0,3.0,56.0,354,365,354,11,0.9699,0.0301,18,18.0,4.17,3.89,4.56,4.44,616.0,Non-Superhost,Available Price,Has Reviews,96.99,3.01,Small portfolio host
1179525685792156339,Funky house boat,492470123,Bas,False,1.0,3.49,Centrum-Oost,52.36116,4.90175,Boat,Entire home/apt,2,1.0,1.0,283.0,305,365,305,60,0.8356,0.1644,6,6.0,5.0,5.0,5.0,5.0,16980.0,Non-Superhost,Available Price,Has Reviews,83.56,16.439999999999998,Single-listing host
1179724111664903559,Cosy colourful canal house,4076982,Henriette,False,1.0,13.62,Centrum-West,52.37707,4.88271,Entire rental unit,Entire home/apt,3,1.0,,,0,365,0,365,0.0,1.0,5,5.0,4.8,4.4,5.0,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1180135615724000277,Cosy Family Appartment,2310949,Bruno,False,1.0,14.12,De Baarsjes - Oud-West,52.3608117,4.8589534,Entire rental unit,Entire home/apt,5,3.0,3.0,286.0,66,365,66,299,0.1808,0.8192,2,2.0,4.5,5.0,5.0,5.0,85514.0,Non-Superhost,Available Price,Has Reviews,18.08,81.92,Single-listing host
1180197188509373473,Unique loft in Old West,87669768,Josephus Johannes Arnoldus,True,1.0,9.88,De Baarsjes - Oud-West,52.3607,4.85892,Entire rental unit,Entire home/apt,2,1.0,1.0,270.0,237,365,237,128,0.6493,0.3507,10,10.0,4.9,5.0,4.8,5.0,34560.0,Superhost,Available Price,Has Reviews,64.92999999999999,35.07,Single-listing host
1180215804639175852,Bright and light,9333389,Michael,False,1.0,12.7,Bos en Lommer,52.383152,4.8523935,Entire rental unit,Entire home/apt,2,1.0,,,0,365,0,365,0.0,1.0,2,2.0,4.5,3.0,4.0,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1180354236976976471,studio imber,64738992,Pim,True,1.0,10.23,De Aker - Nieuw Sloten,52.34581,4.78845,Entire guesthouse,Entire home/apt,2,1.0,1.0,110.0,174,365,174,191,0.4767,0.5233,87,87.0,4.95,4.94,4.77,4.99,21010.0,Superhost,Available Price,Has Reviews,47.67,52.33,Single-listing host
